size,obs
100,-0.0022169283599066812
101,0.06954680530570474
102,0.06688523353370969
103,0.0824808301691365
104,0.09300770962301255
105,0.06396364791467532
106,0.04985994819742013
107,0.06605829781310488
108,0.12731977544928863
109,0.08840985017951615
110,0.1035441643790619
111,0.07029928194261463
112,0.0834389612669136
113,0.07380758957719609
114,0.06956264413526152
115,0.09453798112593725
116,0.0846493233118159
117,0.08282406018917005
118,0.07836270205320624
119,0.04951508925815355
120,0.08912838407507857
121,0.13023337528989498
122,0.10054132008413282
123,0.10524614693030655
124,0.1542788499360873
125,0.09295351230489551
126,0.052929434417618174
127,0.10759625667200733
128,0.13665183130710423
129,0.1391465229114165
130,0.13360627628610947
131,0.11547810614925638
132,0.09488171415190842
133,0.10017080346651794
134,0.1183082946876982
135,0.1145113446627547
136,0.13325209355016504
137,0.1074719070474467
138,0.11582304075827969
139,0.10114148658954254
140,0.10973006300571456
141,0.045684211788126525
142,0.058814086980376115
143,0.041662606803034394
144,0.047156301994429904
145,0.04914945156095568
146,0.05623618559366976
147,0.055880230459396586
148,0.07768712260270849
149,0.07335570529076367
150,0.03554395094670003
151,0.03242377079263989
152,0.005894112260891951
153,0.011953826205815418
154,-0.02228195629726229
155,-0.013155821826011209
156,-0.023181910921573255
157,-0.009141073942200765
158,-0.029912436700533767
159,-0.012707249037822117
160,-0.039035311147469484
161,-0.05926177083091755
162,-0.06376603328262544
163,-0.059080195826348485
164,-0.07108242466505788
165,-0.07099072040436442
166,-0.08245772847812856
167,-0.09530496216091915
168,-0.08197304420742944
169,-0.10176179086955989
170,-0.10122517955609574
171,-0.09791912703202313
172,-0.1187593186783368
173,-0.11025830105036007
174,-0.11641680199805426
175,-0.10974391342174297
176,-0.10961935185228482
177,-0.1159216055558518
178,-0.12982964961417448
179,-0.13833249037713297
180,-0.15084498689007786
181,-0.14620263480526566
182,-0.13413766579018976
183,-0.14579675634021502
184,-0.13780911828310133
185,-0.1478443834873281
186,-0.13279025317419288
187,-0.14064202936733491
188,-0.13706497262512538
189,-0.1354995351837022
190,-0.15654470569841533
191,-0.17341934144497353
192,-0.17798818900602956
193,-0.17136199247791012
194,-0.15906179010712057
195,-0.14799724848832663
196,-0.16177086581213065
197,-0.14484807985264667
198,-0.14487968171175322
199,-0.15727293284888105
200,-0.14425808709398438
201,-0.15883418680325767
202,-0.15550218542094582
203,-0.14001284677571996
204,-0.14156692980540916
205,-0.1605446173001281
206,-0.12812163735211682
207,-0.11979746144263072
208,-0.14151731229365933
209,-0.12413931747440864
210,-0.12013108389590381
211,-0.1373954218669714
212,-0.08927834581004296
213,-0.10089778675726785
214,-0.1122378128625365
215,-0.10693848073409105
216,-0.0923155386991662
217,-0.04780549892841106
218,-0.06892545955605445
219,-0.03616388103655419
220,-0.018263027034873824
221,-0.019824394286516615
222,-0.01580136670193995
223,-0.0011165996422695047
224,0.021669109482860164
225,0.04976391748621676
226,0.07652406776558326
227,0.08128954362901812
228,0.09485128540779875
229,0.06415401100671919
230,0.09690075752223119
231,0.13903529961647162
232,0.12392230422842122
233,0.16575689818296438
234,0.18125239187625802
235,0.1587966666810804
236,0.20342407373436455
237,0.3004208950054836
238,0.2566719097532195
239,0.2812233397359249
240,0.1826755588193627
241,0.2661072829661512
242,0.3145787550620186
243,0.23721946146485542
244,0.33881960919352844
245,0.34277006072198424
246,0.33443769605268675
247,0.4115268365777139
248,0.341180973326537
249,0.27950127878438674
250,0.30227816204564956
251,0.35097730490700485
252,0.3605376511750915
253,0.41782808482365075
254,0.4301186515529843
255,0.34359015377348434
256,0.37826214675369674
257,0.4334105805167913
258,0.4240905108265131
259,0.39081521385958906
260,0.4127017947689526
261,0.4863381085365453
262,0.3976127906985648
263,0.46676469594926195
264,0.3705776578946258
265,0.4516179800882918
266,0.463615854586648
267,0.4127617861873309
268,0.430945278653308
269,0.505878653835841
270,0.5018922335092318
271,0.5022513333547713
272,0.6448941049446385
273,0.48186977176592155
274,0.4975696422458582
275,0.578257018242216
276,0.4831285817810906
277,0.49579240562407095
278,0.4936739519304071
279,0.5140973310048368
280,0.48467463615267325
281,0.5689152605037994
282,0.5526705598405945
283,0.5771942223363573
284,0.5386519604363519
285,0.5349345009969996
286,0.5903376245260573
287,0.5808466911066402
288,0.5467175446866832
289,0.5998249008930727
290,0.5872682798317004
291,0.5190375421923772
292,0.6101686881276119
293,0.5611033154754204
294,0.5830200822729098
295,0.57240267080352
296,0.5278742283539472
297,0.5698068322013331
298,0.5811878645008128
299,0.5681133194572365
300,0.508464136708409
301,0.5164469904524925
302,0.5460589568633316
303,0.5471553236230292
304,0.49748947314826447
305,0.49808154515399156
306,0.5358435312718264
307,0.5087133281209967
308,0.5189030171547824
309,0.4874778506930827
310,0.4867954337298433
311,0.4561475325279143
312,0.5053399119901291
313,0.48644214614831827
314,0.5041549692282785
315,0.4272375939177928
316,0.4647503094425962
317,0.4261118422175919
318,0.46018657126795914
319,0.40856305066557974
320,0.42051914260352896
321,0.4118933612465786
322,0.4131915830773267
323,0.4262550466003607
324,0.4055249811894828
325,0.3709637678892194
326,0.36785758332820034
327,0.33465531874774823
328,0.3141234198891966
329,0.3106283709963256
330,0.301715708369137
331,0.28783146729089554
332,0.28853407831544164
333,0.28590888928946523
334,0.24613022855963115
335,0.2872241307284449
336,0.25399676033602264
337,0.21303274501173525
338,0.24733073472602685
339,0.17320846477724236
340,0.19880705737647722
341,0.1916505382894529
342,0.1645224492524041
343,0.1629439572373006
344,0.14894354654398104
345,0.1123814027877682
346,0.1033886943841093
347,0.10942639119762859
348,0.09753314022288208
349,0.049635261203867416
350,0.048066627910414154
351,0.04541395185288698
352,0.035608815961433046
353,0.018110971778832932
354,0.003047879405969085
355,0.046399439740558955
356,0.06399230794411194
357,-0.03523073907628749
358,0.01882906339767437
359,-0.027729115417221093
360,-0.03341521837544287
361,-0.006108817933857816
362,-0.05253230671170569
363,-0.054198824808152087
364,-0.06815082049946952
365,-0.04747482381270618
366,-0.04595156810829479
367,-0.05006348176271152
368,-0.07498596942244175
369,-0.09629204909023453
370,-0.1103516925722196
371,-0.1046141935105753
372,-0.05687186061490239
373,-0.1000401591886809
374,-0.11804377058848974
375,-0.136961766518665
376,-0.13193611278984735
377,-0.0946114612824348
378,-0.0945408974309185
379,-0.11985648734510611
380,-0.1827082595478591
381,-0.16684829303353527
382,-0.08688866354675433
383,-0.14064752527627622
384,-0.07667238147569219
385,-0.10122480517820927
386,-0.09113375381255065
387,-0.130551706387226
388,-0.12312890487662585
389,-0.1357808011260441
390,-0.08711243776349825
391,-0.1731562454640517
392,-0.1015476109646178
393,-0.11426068797665796
394,-0.00983779908954655
395,-0.18826095201627327
396,-0.10382083572662094
397,-0.009288869215987313
398,-0.16150605519282463
399,-0.05891386477633631
400,-0.1087523091237945
401,-0.007523122292786374
402,-0.07703956831271853
403,-0.028915569723754152
404,0.06530743239529359
405,-0.14302235343365025
406,-0.06802454933030326
407,-0.024132216779998508
408,-0.07254437114067293
409,0.015202925130713555
410,0.07301371149495053
411,0.19317742599911247
412,0.16083387652718942
413,0.3046597185269255
414,0.1862257303532646
415,0.16839754250917707
416,0.4019921631392672
417,0.23061143517121122
418,0.05675839922410887
419,0.3222117401627139
420,0.3075633705434591
421,0.2107723993730236
422,0.20853823264194055
423,0.4548678559486359
424,0.3665261969013248
425,0.3518995422760028
426,0.42182820128009574
427,0.3269614685823668
428,0.4418592713963603
429,0.3242660059056607
430,0.40988782338749963
431,0.42038838503444137
432,0.5339502474568483
433,0.42998668483250124
434,0.368119053863919
435,0.5329702290790467
436,0.3305092107963273
437,0.3778857006212402
438,0.5650333807324307
439,0.46978072405558957
440,0.6048328001332786
441,0.5648047972276048
442,0.6259241941065627
443,0.5700649475155867
444,0.6110851437072643
445,0.48470608793650005
446,0.6463956887142323
447,0.6514214156672453
448,0.6516604164559482
449,0.6123062881631685
450,0.537211645389587
451,0.6306092045238976
452,0.5682546495314599
453,0.5574207493121102
454,0.6079805313898813
455,0.6548885344149175
456,0.658468336097713
457,0.6568627890212174
458,0.7137649121159974
459,0.5642853497929481
460,0.6731407648619775
461,0.5675644633823402
462,0.7389191580224288
463,0.5275663720492791
464,0.5775827200242719
465,0.6137997884231632
466,0.6836542296820033
467,0.5465247406111832
468,0.6107543608185363
469,0.6076749846828471
470,0.6079908311570408
471,0.632914874526442
472,0.5526662409686263
473,0.5649371881104078
474,0.5730821860479549
475,0.5666384130672283
476,0.5327662027883552
477,0.6242367802316181
478,0.5253984541888049
479,0.5814654933069425
480,0.533594894225445
481,0.5697464600617105
482,0.6088185313462237
483,0.5219598700616237
484,0.5262008504160738
485,0.566786395044166
486,0.5261708671839217
487,0.4981679053080571
488,0.6854153455878983
489,0.6728738818725778
490,0.6105634556946531
491,0.4510956771465685
492,0.5244256014168925
493,0.5554828572345792
494,0.37843308052336505
495,0.5010351090455526
496,0.4557034222227966
497,0.5235073422060905
498,0.3262583272217822
499,0.43627459658893
500,0.5028414027372275
